time,drone_id,x,y,z,velocity_x,velocity_y,velocity_z,input_command,target_x,target_y,target_z,battery_level,rpm,x_min,x_max,y_min,y_max,z_min,z_max,timeout
1,1,6.29447372786358,8.11583874151238,2.53973632587012,1.72434664073624,0.637530479717962,-2.61537659261055,ascend,0.937630384099677,9.15013670868595,19.2977707039855,100.588065408388,1486,-10,10,-10,10,0,20,5
1,2,-0.292487025543176,6.005609377776,2.83772677254431,-0.248288696432624,2.97939521557093,2.81806897960096,move_backward,3.11481398313174,-9.28576642851621,16.9825861173755,104.469966238788,1340,-10,10,-10,10,0,20,4
1,3,4.86264936249832,-2.15545960931664,13.1095578035511,-1.57456560751728,1.77679126351528,-2.2941402139383,ascend,-9.07657218737692,-8.05736437528305,16.4691565665459,103.274143114879,1158,-10,10,-10,10,0,20,5
1,4,-9.31107838994182,-1.22511280687204,7.63116914186017,0.638413478331004,0.625717193274857,-1.72975983464891,descend,-1.08827598578201,2.92626020222529,14.1872966171615,103.573433409912,1138,-10,10,-10,10,0,20,4
1,5,3.10196007947681,-6.74776529610739,2.37995363116753,-0.0136986562066961,3.0652606165695,-1.53933182750736,descend,-5.52376121017726,5.02534118611306,5.10190230918538,102.329785258326,1350,-10,10,-10,10,0,20,5
2,1,9.18582850410889,0.944310599276061,2.77248885657358,-1.48460367451971,-2.12316346663997,4.70091444800408,ascend,6.28569652137633,-5.12950062550021,18.5852724637446,101.349918829924,1098,-10,10,-10,10,0,20,1
2,2,2.32089352293278,-0.534223021945415,7.03319014125993,2.8386203012851,0.583168747968365,0.395622106928721,move_backward,-4.28321962359253,5.14400458221442,15.0745818855699,101.502229234877,1284,-10,10,-10,10,0,20,0
2,3,-8.92099762666786,0.615951060179453,15.5833446020402,5.17098250523248,-1.33378134140277,0.37466204915788,descend,-9.76195860997517,-3.25754711202237,3.24364616386486,103.57142270342,1155,-10,10,-10,10,0,20,3
2,4,-6.68702541000438,2.03963882803273,5.25942569080289,0.979930642347896,1.47872624720895,3.42377556596311,descend,-8.32357244006135,-5.42046062566362,18.2667472300334,100.361890094846,1413,-10,10,-10,10,0,20,3
2,5,9.92269433253771,-8.43648942493633,8.85356539550893,-2.4156909705196,5.81601606145872,1.65043778845698,move_backward,-8.31128308978179,-2.00434701802207,5.19740805701308,103.600342401122,1216,-10,10,-10,10,0,20,5
3,1,-6.36305943394295,-4.7239416695602,2.91077960769434,-3.1541140455984,1.01594930181189,0.563968127341112,descend,-7.10090403552546,7.06062235443788,12.4411026297013,101.154761904461,1257,-10,10,-10,10,0,20,2
3,2,-8.48066616618316,-5.20167692892684,2.46637869670331,-1.9584126103346,-2.312803311328,-1.06711421863197,hover,8.05432219830562,8.89574379443292,9.8172818493616,101.846263192,1169,-10,10,-10,10,0,20,5
3,3,-2.6150643775957,-7.77594489412425,15.6050413664228,-0.449542112105168,-1.1780580614416,-0.587507195470832,hover,-7.3605341478733,8.8410118155097,19.122690804596,102.276042975392,1029,-10,10,-10,10,0,20,1
3,4,-2.93682857555858,6.42388080395918,0.308068753031101,-4.65973431161015,-2.89819458567748,0.667021666131612,move_forward,2.95491926272613,-0.981525871381102,10.9401778457269,100.881604028039,1373,-10,10,-10,10,0,20,1
